 ,Label,Area,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
615,,0.012,0.776,0.153,4.924,6.885,101.976,0.106,1.475,0.678,0.923
128,,0.008,0.603,0.154,4.484,2.7,114.305,0.074,2.078,0.481,0.874
283,,0.011,0.804,0.154,6.83,3.653,114.305,0.106,1.438,0.696,0.926
303,,0.011,0.617,0.154,7.72,3.971,76.373,0.112,1.455,0.687,0.845
460,,0.012,0.732,0.154,4.792,5.16,47.386,0.122,1.252,0.799,0.889
222,,0.009,0.713,0.155,2.841,3.29,127.875,0.084,1.871,0.534,0.912
411,,0.011,0.719,0.155,2.337,4.706,121.827,0.121,1.265,0.79,0.9
56,,0.011,0.784,0.156,3.29,2.165,35.538,0.101,1.533,0.652,0.923
61,,0.011,0.813,0.156,4.112,2.147,144.462,0.106,1.472,0.68,0.937
214,,0.008,0.69,0.156,3.154,3.227,98.366,0.081,1.924,0.52,0.891
500,,0.011,0.701,0.156,2.923,5.355,150.461,0.106,1.46,0.685,0.909
630,,0.014,0.825,0.156,4.543,7.27,144.462,0.132,1.124,0.89,0.937
634,,0.012,0.72,0.156,5.764,7.706,163.142,0.119,1.135,0.881,0.883
186,,0.008,0.316,0.157,8.042,3.145,10.008,0.082,2.203,0.454,0.801
476,,0.006,0.523,0.157,3.517,5.165,100.008,0.066,2.802,0.357,0.841
87,,0.008,0.622,0.158,4.543,2.46,39.174,0.075,2.187,0.457,0.884
159,,0.009,0.694,0.158,7.506,3.091,71.565,0.086,1.702,0.587,0.891
425,,0.007,0.608,0.158,4.252,4.788,152.7,0.074,2.264,0.442,0.869
530,,0.011,0.601,0.158,4.974,5.868,161.565,0.121,1.196,0.836,0.871
620,,0.012,0.701,0.158,4.96,7.084,18.435,0.115,1.391,0.719,0.899
183,,0.01,0.77,0.159,4.525,3.068,103.241,0.104,1.483,0.674,0.928
192,,0.01,0.685,0.159,2.469,3.19,23.629,0.1,1.477,0.677,0.865
456,,0.01,0.706,0.159,5.056,5.001,103.241,0.096,1.693,0.591,0.898
479,,0.009,0.484,0.159,4.67,5.255,23.629,0.082,1.866,0.536,0.889
543,,0.011,0.773,0.159,3.104,5.995,13.241,0.097,1.603,0.624,0.916
578,,0.011,0.787,0.159,5.137,6.381,23.629,0.095,1.547,0.646,0.923
608,,0.009,0.691,0.159,4.938,6.862,53.13,0.093,1.77,0.565,0.913
292,,0.007,0.603,0.16,1.475,3.744,145.408,0.066,2.582,0.387,0.87
636,Mean,0.011,0.629,0.16,4.615,4.123,90.615,0.102,1.627,0.662,0.848
313,,0.01,0.699,0.161,7.456,3.962,32.347,0.075,2.192,0.456,0.921
370,,0.012,0.72,0.161,7.443,4.466,57.653,0.11,1.512,0.661,0.922
446,,0.01,0.639,0.161,6.027,5.069,68.499,0.081,2.006,0.498,0.888
516,,0.011,0.706,0.161,3.481,5.569,132.709,0.104,1.5,0.666,0.91
359,,0.013,0.74,0.162,5.051,4.28,128.157,0.128,1.207,0.829,0.881
463,,0.01,0.736,0.162,3.218,5.174,38.157,0.09,1.786,0.56,0.921
15,,0.011,0.542,0.163,3.481,1.566,112.989,0.105,1.594,0.627,0.857
413,,0.011,0.758,0.163,3.041,4.747,167.125,0.086,1.964,0.509,0.938
531,,0.011,0.64,0.163,7.348,5.795,112.989,0.102,1.717,0.582,0.88
582,,0.012,0.744,0.163,4.139,6.508,77.125,0.106,1.611,0.621,0.902
528,,0.011,0.741,0.164,5.165,5.755,94.764,0.1,1.676,0.597,0.918
242,,0.01,0.584,0.165,7.089,3.522,52.815,0.084,1.853,0.54,0.881
550,,0.008,0.578,0.165,6.431,6.095,52.815,0.081,2.234,0.448,0.861
417,,0.013,0.792,0.166,6.517,4.797,11.004,0.107,1.574,0.635,0.937
449,,0.01,0.72,0.166,3.998,4.956,124.992,0.095,1.55,0.645,0.92
301,,0.008,0.572,0.167,2.723,3.962,57.171,0.087,2.209,0.453,0.889
325,,0.01,0.65,0.167,2.882,3.957,107.447,0.094,1.881,0.532,0.891
412,,0.01,0.19,0.167,6.762,4.711,150.642,0.126,1.27,0.787,0.662
397,,0.013,0.78,0.168,2.469,4.588,161.075,0.122,1.26,0.793,0.939
331,,0.009,0.6,0.171,3.209,4.03,154.799,0.083,2.274,0.44,0.856
353,,0.011,0.555,0.172,3.177,4.216,142.524,0.098,1.815,0.551,0.866
146,,0.013,0.664,0.173,5.342,2.927,29.932,0.124,1.451,0.689,0.884
312,,0.013,0.466,0.173,6.535,3.98,13.671,0.13,1.526,0.655,0.782
194,,0.012,0.585,0.174,5.187,3.277,74.876,0.109,1.379,0.725,0.853
625,,0.012,0.709,0.174,4.502,7.261,74.876,0.111,1.451,0.689,0.863
347,,0.013,0.619,0.175,3.34,4.302,53.427,0.099,1.835,0.545,0.865
599,,0.011,0.606,0.175,4.071,6.73,68.749,0.094,1.782,0.561,0.881
24,,0.009,0.416,0.177,5.854,1.793,131.878,0.081,2.316,0.432,0.742
151,,0.012,0.733,0.177,2.673,2.864,133.958,0.096,1.848,0.541,0.933
66,,0.012,0.658,0.178,7.688,2.296,52.253,0.104,1.635,0.612,0.889
88,,0.009,0.623,0.179,2.9,2.378,149.534,0.079,2.316,0.432,0.892
145,,0.009,0.328,0.18,5.165,2.954,47.045,0.108,2.065,0.484,0.617
386,,0.013,0.729,0.18,2.995,4.497,130.914,0.108,1.786,0.56,0.913
436,,0.015,0.575,0.18,4.375,4.879,137.045,0.129,1.246,0.803,0.86
455,,0.009,0.604,0.18,2.537,5.115,33.69,0.09,2.319,0.431,0.86
13,,0.008,0.503,0.181,5.024,1.452,112.068,0.075,2.436,0.41,0.797
429,,0.013,0.71,0.181,5.174,4.779,112.068,0.114,1.566,0.639,0.881
461,,0.014,0.559,0.181,4.134,5.228,67.932,0.12,1.764,0.567,0.833
619,,0.012,0.642,0.181,5.296,7.107,38.884,0.096,2.004,0.499,0.895
441,,0.009,0.249,0.183,6.213,4.883,116.565,0.109,1.801,0.555,0.644
483,,0.013,0.716,0.183,2.728,5.205,113.385,0.113,1.654,0.604,0.916
607,,0.01,0.525,0.183,7.007,6.694,153.435,0.11,1.707,0.586,0.82
617,,0.014,0.738,0.184,4.352,7.053,52.001,0.125,1.377,0.726,0.914
12,,0.016,0.76,0.185,4.37,1.47,162.897,0.113,1.645,0.608,0.941
257,,0.01,0.518,0.185,0.585,3.508,155.323,0.085,2.759,0.362,0.756
202,,0.012,0.583,0.187,7.452,3.168,104.036,0.081,2.512,0.398,0.904
252,,0.012,0.493,0.187,7.502,3.445,108.435,0.103,2.157,0.464,0.809
263,,0.014,0.24,0.187,5.215,3.508,131.055,0.136,1.466,0.682,0.767
136,,0.013,0.502,0.188,4.166,2.75,98.326,0.102,2.331,0.429,0.767
457,,0.013,0.69,0.188,4.398,5.183,57.848,0.108,1.857,0.539,0.872
622,,0.014,0.698,0.188,4.851,7.025,105.376,0.105,1.739,0.575,0.916
404,,0.015,0.536,0.191,2.641,4.715,22.306,0.121,1.699,0.589,0.829
553,,0.014,0.767,0.192,3.98,6.018,166.293,0.109,1.698,0.589,0.933
307,,0.007,0.435,0.194,5.759,3.853,142.595,0.06,3.916,0.255,0.763
39,,0.014,0.462,0.195,5.337,1.979,12.095,0.118,2.231,0.448,0.737
381,,0.013,0.498,0.196,2.473,4.479,173.367,0.101,2.232,0.448,0.861
105,,0.011,0.301,0.197,4.752,2.691,82.057,0.108,2.267,0.441,0.668
49,,0.013,0.419,0.2,4.91,2.128,39.472,0.105,1.975,0.506,0.779
606,,0.013,0.315,0.2,3.662,6.835,76.908,0.117,1.961,0.51,0.679
565,,0.015,0.344,0.201,6.789,6.131,104.349,0.142,1.594,0.627,0.733
243,,0.013,0.436,0.202,3.885,3.567,54.162,0.117,2.2,0.455,0.743
317,,0.014,0.354,0.202,4.012,3.985,170.961,0.124,1.898,0.527,0.747
153,,0.014,0.487,0.203,6.222,3.009,38.66,0.121,1.93,0.518,0.775
269,,0.014,0.408,0.203,6.313,3.567,139.538,0.129,1.823,0.549,0.793
305,,0.018,0.437,0.203,2.26,4.021,51.34,0.147,1.338,0.747,0.774
71,,0.021,0.486,0.204,6.612,2.251,147.724,0.159,1.307,0.765,0.825
309,,0.016,0.298,0.204,5.169,3.971,20.854,0.133,1.857,0.538,0.695
453,,0.013,0.346,0.204,2.986,4.997,168.44,0.116,2.141,0.467,0.695
102,,0.015,0.532,0.205,3.436,2.469,125.096,0.118,2.127,0.47,0.768
154,,0.013,0.379,0.205,3.998,2.932,161.966,0.101,2.441,0.41,0.717
623,,0.016,0.527,0.206,3.876,7.175,41.424,0.141,1.57,0.637,0.803
104,,0.015,0.294,0.207,6.576,2.646,28.811,0.16,1.464,0.683,0.675
561,,0.023,0.797,0.207,4.833,6.213,23.199,0.154,1.318,0.758,0.943
10,,0.014,0.488,0.208,5.042,1.384,163.54,0.115,2.493,0.401,0.751
268,,0.012,0.318,0.208,2.809,3.676,20.41,0.128,2.333,0.429,0.608
148,,0.016,0.373,0.209,3.145,3.018,60.101,0.151,1.675,0.597,0.723
496,,0.015,0.377,0.209,4.425,5.51,65.659,0.109,2.225,0.449,0.752
503,,0.018,0.614,0.209,7.475,5.392,130.601,0.137,1.484,0.674,0.915
524,,0.019,0.521,0.212,3.118,5.859,54.605,0.123,1.85,0.541,0.881
588,,0.02,0.372,0.212,3.966,6.63,80.134,0.176,1.33,0.752,0.736
247,,0.017,0.343,0.213,6.517,3.413,116.565,0.131,1.872,0.534,0.713
398,,0.013,0.364,0.213,5.959,4.743,51.911,0.111,2.31,0.433,0.694
320,,0.014,0.409,0.214,5.5,4.121,68.875,0.107,2.289,0.437,0.794
326,,0.015,0.443,0.215,3.072,3.966,114.944,0.106,2.336,0.428,0.815
631,,0.026,0.77,0.216,5.482,7.466,59.657,0.186,1.163,0.86,0.943
405,,0.015,0.479,0.218,2.809,4.724,12.011,0.11,2.465,0.406,0.788
152,,0.021,0.571,0.22,2.796,2.868,150.255,0.145,1.66,0.602,0.861
203,,0.017,0.391,0.22,1.933,3.272,8.297,0.151,1.858,0.538,0.668
271,,0.019,0.366,0.22,7.034,3.594,122.381,0.151,1.797,0.557,0.748
421,,0.018,0.61,0.22,2.877,4.747,104.323,0.132,1.925,0.52,0.898
427,,0.013,0.409,0.22,2.959,4.983,68.199,0.108,2.755,0.363,0.741
472,,0.012,0.322,0.223,6.363,5.16,159.717,0.105,2.555,0.391,0.726
482,,0.013,0.286,0.223,7.338,5.233,156.038,0.107,2.448,0.408,0.673
440,,0.014,0.288,0.224,5.301,4.874,95.826,0.12,2.555,0.391,0.721
163,,0.013,0.378,0.225,2.591,2.959,115.017,0.1,2.91,0.344,0.677
586,,0.018,0.497,0.225,6.662,6.49,14.036,0.129,1.946,0.514,0.796
344,,0.013,0.448,0.226,3.848,4.107,128.48,0.095,3.045,0.328,0.73
25,,0.024,0.412,0.228,5.995,1.92,20.956,0.166,1.489,0.672,0.766
178,,0.015,0.43,0.23,4.969,3.245,67.989,0.103,2.889,0.346,0.705
101,,0.018,0.425,0.231,6.349,2.464,118.072,0.13,2.196,0.455,0.796
330,,0.015,0.483,0.231,3.032,4.021,101.31,0.107,2.392,0.418,0.818
522,,0.022,0.246,0.231,4.153,5.895,78.69,0.176,1.478,0.677,0.698
72,,0.02,0.293,0.234,4.293,2.305,155.925,0.173,1.568,0.638,0.658
51,,0.016,0.394,0.236,2.455,2.065,11.094,0.097,2.774,0.361,0.804
133,,0.015,0.387,0.236,2.324,2.741,127.972,0.098,2.891,0.346,0.749
74,,0.017,0.474,0.238,2.564,2.278,133.452,0.107,2.814,0.355,0.764
170,,0.02,0.442,0.238,3.617,3.154,46.548,0.134,2.005,0.499,0.767
118,,0.017,0.355,0.241,4.842,2.614,125.789,0.11,2.507,0.399,0.79
76,,0.016,0.498,0.243,3.272,2.26,97.524,0.118,2.588,0.386,0.781
495,,0.019,0.577,0.243,4.525,5.392,17.418,0.125,2.102,0.476,0.857
135,,0.017,0.253,0.244,5.755,2.877,31.329,0.162,1.556,0.643,0.619
525,,0.02,0.616,0.244,5.255,5.696,125.166,0.132,1.929,0.518,0.883
379,,0.017,0.455,0.245,6.045,4.516,176.82,0.107,2.552,0.392,0.825
50,,0.018,0.328,0.246,4.543,1.997,127.504,0.126,2.516,0.397,0.712
598,,0.017,0.464,0.246,3.767,6.567,119.876,0.102,2.902,0.345,0.752
97,,0.017,0.368,0.25,4.039,2.61,43.531,0.122,2.569,0.389,0.725
371,,0.018,0.394,0.25,3.027,4.434,3.122,0.126,2.233,0.448,0.695
215,,0.02,0.422,0.252,4.402,3.249,127.694,0.161,1.854,0.539,0.71
596,,0.024,0.24,0.253,6.78,6.689,17.784,0.191,1.411,0.709,0.68
587,,0.022,0.412,0.255,3.281,6.621,58.861,0.146,1.991,0.502,0.76
190,,0.013,0.105,0.256,5.841,3.277,27.474,0.152,1.752,0.571,0.466
204,,0.025,0.343,0.256,7.738,3.372,29.745,0.16,1.774,0.564,0.724
256,,0.022,0.339,0.256,5.314,3.481,173.884,0.177,1.433,0.698,0.732
583,,0.021,0.466,0.257,4.779,6.381,122.005,0.133,2.065,0.484,0.803
213,,0.027,0.295,0.26,5.428,3.476,77.905,0.183,1.619,0.618,0.752
234,,0.025,0.235,0.261,6.662,3.404,172.999,0.216,1.472,0.679,0.642
346,,0.023,0.365,0.263,2.85,4.143,132.207,0.163,1.946,0.514,0.721
79,,0.02,0.346,0.264,3.458,2.278,116.565,0.157,2.003,0.499,0.757
352,,0.02,0.308,0.265,2.551,4.212,149.036,0.131,2.423,0.413,0.736
209,,0.018,0.428,0.268,3.358,3.263,161.259,0.116,2.718,0.368,0.76
547,,0.014,0.323,0.27,6.853,6.113,36.098,0.085,3.656,0.274,0.759
614,,0.02,0.235,0.27,4.606,7.107,63.004,0.15,2.132,0.469,0.702
212,,0.019,0.383,0.271,4.529,3.222,110.556,0.124,2.51,0.398,0.74
572,,0.021,0.397,0.271,3.581,6.358,22.694,0.124,2.637,0.379,0.768
277,,0.026,0.294,0.272,5.482,3.73,23.575,0.204,1.311,0.763,0.694
392,,0.026,0.488,0.274,6.812,4.606,163.664,0.153,1.988,0.503,0.801
501,,0.017,0.436,0.276,3.413,5.528,36.304,0.099,3.36,0.298,0.794
139,,0.02,0.37,0.281,3.476,2.877,10.222,0.128,2.513,0.398,0.718
629,,0.026,0.528,0.281,5.655,7.266,169.778,0.168,1.929,0.519,0.823
55,,0.028,0.276,0.284,3.753,2.274,24.52,0.233,1.206,0.829,0.618
155,,0.029,0.36,0.284,3.867,3.177,77.074,0.197,1.47,0.68,0.716
469,,0.033,0.262,0.292,3.699,5.101,101.659,0.242,1.217,0.822,0.655
223,,0.022,0.303,0.293,2.986,3.299,111.801,0.143,2.826,0.354,0.677
258,,0.031,0.316,0.294,5.904,3.526,155.41,0.195,1.487,0.672,0.737
149,,0.027,0.14,0.296,4.302,3.113,49.97,0.248,1.156,0.865,0.527
348,,0.029,0.278,0.296,3.98,4.157,174.726,0.206,1.707,0.586,0.664
41,,0.026,0.281,0.297,4.656,1.947,145.582,0.167,2.137,0.468,0.677
265,,0.032,0.281,0.298,2.36,3.703,8.746,0.217,1.481,0.675,0.682
166,,0.022,0.282,0.305,1.552,3.023,146.547,0.165,2.598,0.385,0.581
571,,0.023,0.427,0.311,5.328,6.245,146.31,0.122,3.084,0.324,0.787
438,,0.028,0.294,0.312,4.112,4.906,132.049,0.157,2.581,0.387,0.706
368,,0.028,0.253,0.314,3.299,4.643,85.03,0.216,1.473,0.679,0.625
206,,0.026,0.387,0.318,2.351,3.286,9.866,0.136,2.746,0.364,0.747
274,,0.028,0.318,0.318,3.059,3.917,86.73,0.162,2.376,0.421,0.718
237,,0.025,0.257,0.319,3.535,3.472,14.826,0.193,1.801,0.555,0.62
285,,0.025,0.264,0.325,3.667,3.835,28.355,0.135,3.109,0.322,0.716
537,,0.021,0.425,0.325,3.853,5.864,120.141,0.105,3.869,0.258,0.808
311,,0.032,0.278,0.327,2.569,3.912,150.945,0.209,2.032,0.492,0.685
518,,0.026,0.239,0.329,7.03,5.605,129.401,0.17,2.456,0.407,0.584
459,,0.025,0.32,0.332,4.525,5.323,57.829,0.128,3.389,0.295,0.726
402,,0.025,0.312,0.339,6.118,4.929,82.304,0.136,3.228,0.31,0.698
585,,0.029,0.302,0.34,4.402,6.531,16.26,0.126,3.315,0.302,0.748
110,,0.03,0.231,0.343,2.728,2.519,101.459,0.185,2.201,0.454,0.618
512,,0.026,0.184,0.343,5.696,5.864,62.418,0.195,2.195,0.456,0.563
48,,0.025,0.223,0.353,6.322,1.983,98.13,0.149,2.774,0.36,0.632
131,,0.041,0.199,0.358,6.635,2.714,120.466,0.213,1.853,0.54,0.712
377,,0.036,0.185,0.363,5.078,4.42,115.925,0.256,1.64,0.61,0.541
452,,0.038,0.224,0.363,2.705,5.001,159.528,0.213,1.892,0.529,0.696
329,,0.042,0.255,0.37,2.237,4.307,59.036,0.234,1.88,0.532,0.641
475,,0.048,0.332,0.371,3.159,5.387,35.049,0.235,1.6,0.625,0.747
179,,0.03,0.155,0.373,6.726,3.063,159.362,0.197,2.188,0.457,0.559
573,,0.032,0.251,0.373,4.888,6.267,145.923,0.175,2.435,0.411,0.677
35,,0.048,0.167,0.389,4.175,2.088,168.559,0.331,1.031,0.97,0.552
287,,0.046,0.167,0.396,3.377,3.699,129.89,0.246,1.783,0.561,0.659
86,,0.034,0.28,0.401,6.104,2.664,52.352,0.148,3.467,0.288,0.722
276,,0.04,0.355,0.406,2.437,3.853,36.357,0.166,3.009,0.332,0.719
527,,0.044,0.148,0.412,6.458,5.805,172.405,0.25,1.721,0.581,0.618
115,,0.033,0.236,0.417,3.971,2.9,43.238,0.171,3.206,0.312,0.634
116,,0.034,0.264,0.425,3.322,2.664,166.409,0.159,3.424,0.292,0.667
542,,0.033,0.21,0.435,3.594,5.913,129.5,0.17,3.57,0.28,0.59
332,,0.045,0.175,0.457,3.454,4.044,127.326,0.216,2.654,0.377,0.555
82,,0.034,0.175,0.464,3.812,2.369,4.485,0.153,3.786,0.264,0.64
59,,0.05,0.141,0.504,4.706,2.337,24.487,0.233,2.644,0.378,0.581
639,Max,0.05,0.887,0.504,8.251,7.865,177.614,0.331,3.916,0.973,0.948
